animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Dog,Labrador Retriever/Dachshund,Spayed Female,Spayed Female,3 months,3 months,Owner Surrender,Normal,Adoption,0.11597222222222224
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,5 months,7 months,Stray,Normal,Adoption,40.93125
Dog,Pit Bull Mix,Intact Male,Intact Male,6 years,6 years,Public Assist,Normal,Return to Owner,7.081944444444445
Dog,Chesa Bay Retr Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,151.73055555555555
Dog,Staffordshire Mix,Intact Female,Spayed Female,5 months,5 months,Owner Surrender,Normal,Adoption,2.0409722222222224
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,0.732638888888889
Dog,German Shepherd,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Adoption,13.864583333333334
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,4 weeks,3 months,Stray,Normal,Adoption,70.24444444444444
Dog,Labrador Retriever Mix,Intact Female,Intact Female,2 years,2 years,Stray,Injured,Transfer,7.153472222222222
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,0.9763888888888888
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,7 months,7 months,Stray,Normal,Transfer,0.7659722222222223
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 years,2 years,Stray,Normal,Transfer,2.1118055555555557
Cat,Siamese Mix,Intact Female,Spayed Female,2 weeks,2 months,Stray,Normal,Adoption,62.08819444444445
Dog,Miniature Schnauzer,Neutered Male,Neutered Male,3 years,3 years,Stray,Normal,Transfer,6.004166666666667
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Transfer,13.029861111111112
Dog,Australian Cattle Dog Mix,Spayed Female,Spayed Female,2 years,2 years,Public Assist,Normal,Return to Owner,8.877083333333333
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 weeks,2 weeks,Stray,Normal,Transfer,0.03888888888888889
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,7 months,7 months,Stray,Normal,Return to Owner,0.2263888888888889
Dog,Jack Russell Terrier Mix,Neutered Male,Neutered Male,10 years,10 years,Stray,Normal,Transfer,5.0368055555555555
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,4 years,4 years,Stray,Normal,Adoption,4.0881944444444445
Cat,Snowshoe Mix,Intact Male,Intact Male,1 month,1 month,Stray,Sick,Transfer,0.18125
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,11 years,11 years,Stray,Normal,Return to Owner,0.9680555555555556
Dog,Boxer Mix,Intact Male,Intact Male,2 years,2 years,Public Assist,Normal,Return to Owner,11.022222222222224
Cat,Domestic Medium Hair Mix,Spayed Female,Spayed Female,14 years,14 years,Owner Surrender,Normal,Adoption,47.075
Dog,Golden Retriever Mix,Intact Male,Intact Male,2 months,2 months,Stray,Normal,Transfer,1.0875
Cat,Domestic Longhair Mix,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Other,Transfer,2.134027777777778
Dog,Pit Bull Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Injured,Adoption,75.23611111111111
Dog,German Shepherd Mix,Neutered Male,Neutered Male,10 years,10 years,Stray,Aged,Return to Owner,0.09930555555555556
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,10.214583333333334
Dog,Great Pyrenees Mix,Intact Female,Spayed Female,9 months,10 months,Stray,Normal,Return to Owner,1.2625
Dog,Boxer/Labrador Retriever,Neutered Male,Neutered Male,8 years,8 years,Stray,Normal,Adoption,22.17430555555556
Dog,Pbgv,Neutered Male,Neutered Male,7 years,7 years,Stray,Normal,Return to Owner,0.9840277777777776
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,6 months,6 months,Stray,Injured,Adoption,8.461805555555555
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Public Assist,Normal,Adoption,8.7875
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,4 years,4 years,Stray,Injured,Adoption,10.354861111111113
Cat,Domestic Shorthair,Intact Female,Intact Female,4 weeks,4 weeks,Stray,Normal,Transfer,2.004166666666667
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,21.92916666666667
Dog,Rottweiler Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,8.077083333333333
Dog,Miniature Schnauzer Mix,Spayed Female,Spayed Female,9 months,10 months,Public Assist,Normal,Adoption,22.85555555555556
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 months,3 months,Stray,Normal,Transfer,0.9159722222222222
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,36.15902777777778
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,0.6604166666666667
Dog,Australian Shepherd Mix,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Transfer,2.06875
Cat,Domestic Medium Hair Mix,Neutered Male,Neutered Male,6 months,6 months,Owner Surrender,Normal,Adoption,21.17222222222222
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,2 years,2 years,Stray,Normal,Transfer,10.06875
Dog,Miniature Poodle Mix,Spayed Female,Spayed Female,3 years,3 years,Public Assist,Normal,Return to Owner,0.18958333333333335
Dog,Airedale Terrier Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,95.90972222222224
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 months,2 months,Stray,Normal,Transfer,1.8743055555555552
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.249305555555556
Dog,Chihuahua Shorthair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,0.00208333333333333
Cat,Domestic Shorthair Mix,Unknown,Unknown,2 weeks,2 weeks,Stray,Normal,Transfer,0.8958333333333334
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,22.00763888888889
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,14 years,14 years,Owner Surrender,Normal,Adoption,5.184027777777778
Dog,Norwich Terrier Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,32.613194444444446
Dog,Staffordshire Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.174305555555556
Dog,Pit Bull Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Return to Owner,24.681944444444444
Dog,Beagle/Pembroke Welsh Corgi,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Return to Owner,3.638888888888889
Dog,Anatol Shepherd Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,6.705555555555556
Dog,Anatol Shepherd Mix,Intact Male,Intact Male,2 years,2 years,Stray,Injured,Transfer,13.09375
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 months,3 months,Owner Surrender,Normal,Adoption,3.188888888888889
Cat,Siamese Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,0.7756944444444445
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,8 months,8 months,Owner Surrender,Normal,Return to Owner,0.9569444444444444
Dog,Miniature Poodle Mix,Neutered Male,Neutered Male,7 years,7 years,Stray,Normal,Return to Owner,0.20972222222222223
Dog,Yorkshire Terrier Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,4.8902777777777775
Cat,Domestic Shorthair Mix,Unknown,Unknown,1 year,1 year,Stray,Normal,Transfer,0.8493055555555555
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,3 months,Stray,Normal,Adoption,69.30625
Dog,Chihuahua Shorthair Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Return to Owner,0.17083333333333336
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,2.183333333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,9.320833333333333
